,Country,ObjectId,Industry,Gas Type,Seasonal Adjustment,year,Q1,Q2,Q3,Q4
0,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2010,3.322563649,3.488823604,3.419990623,3.533267864
1,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2011,3.385814197,3.597578352,3.431882754,3.598604742
2,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2012,3.610748718,3.768425295,3.801340636,3.932914322
3,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2013,4.042478571,4.155423114,4.028676341,4.121811271
4,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2014,4.074742557,4.175017276,3.996839994,4.151202387
5,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2015,4.057834503,4.167844902,3.966580123,4.080266682
6,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2016,4.590186396,3.993485237,3.867653052,4.147835331
7,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2017,4.478123729,4.658801215,4.661448502,4.866810001
8,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2018,4.695166208,4.584040105,4.454505481,4.540940855
9,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2019,4.41034847,4.385991737,4.242157462,4.440900083
10,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2020,4.494001466,4.122123093,4.336519804,4.524334655
11,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2021,4.556578694,4.537954319,4.455416346,4.813378193
12,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2022,4.860810541,4.54467194,4.502989821,4.718574893
13,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2023,4.763291088,4.657442551,4.608562914,4.70018045
14,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2024,4.678380419,4.691539777,4.715413264,4.912127424
15,Africa,101,"Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,2025,5.24425182,,,
16,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2010,3.361025233,3.413828557,3.48521366,3.504578291
17,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2011,3.416685743,3.518336931,3.509071212,3.569786161
18,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2012,3.646306036,3.698445645,3.865114982,3.903562308
19,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2013,4.06053785,4.091775931,4.107300792,4.088774724
20,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2014,4.097022033,4.108607798,4.081959904,4.110212481
21,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2015,4.070060185,4.106677186,4.064017863,4.031770975
22,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2016,4.584418763,3.947942758,3.96426402,4.102534476
23,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2017,4.463830906,4.624016351,4.7766127,4.800723489
24,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2018,4.663938859,4.567912565,4.56253226,4.480268965
25,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2019,4.358403579,4.392949936,4.354379694,4.373664544
26,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2020,4.434268088,4.147553974,4.449294136,4.44586282
27,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2021,4.481762768,4.581726705,4.557509706,4.742328373
28,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2022,4.766044487,4.591278809,4.613359268,4.656364632
29,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2023,4.667079371,4.706779289,4.725111045,4.630507298
30,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2024,4.591509386,4.741339439,4.835003145,4.851051807
31,Africa,102,"Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,2025,5.124308132,,,
32,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2010,194.4959866,183.2829937,181.8126361,187.0748708
33,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2011,196.3232334,186.3860807,185.6659619,190.8485238
34,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2012,199.4584928,192.3570346,192.892955,199.2462397
35,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2013,205.9022729,196.434251,194.5703556,203.4985408
36,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2014,210.6078917,198.3034201,198.9759443,207.2548126
37,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2015,216.1054921,201.4288831,201.9316236,210.8769401
38,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2016,218.3150708,208.1439107,209.3846864,221.1853799
39,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2017,218.3654549,217.6432242,214.3034558,216.2633232
40,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2018,218.5867718,218.359442,219.5110483,225.3953192
41,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2019,223.2397724,223.2612885,224.7496028,228.912808
42,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2020,230.4346056,228.7034377,232.3961855,236.3623527
43,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2021,233.8209184,231.4539575,232.7949878,235.4916071
44,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2022,237.6105859,236.2060482,238.5894884,241.5619513
45,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2023,242.5388287,240.3347532,242.0983707,246.181991
46,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2024,246.6531713,246.780365,249.6238468,252.7974774
47,Africa,103,"Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,2025,260.6796714,,,
48,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2010,187.1109649,186.354813,186.3870557,186.8136535
49,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2011,188.9119605,189.4836827,190.7074435,190.1207131
50,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2012,192.4759087,195.5348276,197.959735,197.9842508
51,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2013,198.4858043,200.2258447,199.4906548,202.2031165
52,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2014,202.7774558,202.6035887,204.275461,205.4855632
53,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2015,208.6256068,206.0395902,207.892364,207.785378
54,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2016,213.0076346,211.8380021,215.5395889,216.6438223
55,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2017,215.0759413,220.2282274,215.5093306,215.7619588
56,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2018,216.8582997,220.0000109,221.1769866,223.8172841
57,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2019,222.616954,224.3796335,225.9045349,227.2623492
58,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2020,229.9826699,229.7400926,233.5336171,234.640202
59,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2021,232.9727138,232.7566387,233.7147769,234.1173413
60,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2022,236.4321621,237.6630022,239.8047106,240.0681991
61,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2023,241.4487145,241.8363023,243.1796556,244.6892712
